,pt_BR,en_US,es_ES
b_start,Iniciar,Start,Comienzo
b_credito,Creditos,Credits,Creditos
b_language,Idiomas,Languages,Idiomas
l_name,Escolha seu idioma,Choose your language,Seleccione su idioma
l_movimento,Use as teclas do W A S D para mover o personagem e o mouse para mover a camera,Use the W A S D keys to move the character and the mouse to move the camera,Usa las teclas W A S D para mover el personaje y el ratón para mover la cámara
l_game,Atirador de cima para baixo,Top down shooter,Tirador de arriba hacia abajo
b_pt,Português,Portuguese,Portugués
b_es,Espanhol,Spanish,Español
b_en,Inglês,English,Inglés
l_level,Nivel: ,Level: ,Nivel: 
l_text,Pontos: ,Points: ,Puntos: 
l_mission,Faça ,Get ,Consigue 
complete, pontos e não morra., points and don't die., puntos y no mueras.
